Date,USD
1/31/2002,564.39
2/28/2002,568.18
3/31/2002,576.96
4/30/2002,579.34
5/31/2002,582.22
6/30/2002,577.14
7/31/2002,561.53
8/31/2002,557.00
9/30/2002,580.18
10/31/2002,582.74
11/30/2002,585.81
12/30/2002,584.89
1/31/2003,584.73
2/28/2003,588.46
3/31/2003,589.52
4/30/2003,587.01
5/31/2003,585.04
6/30/2003,584.80
7/31/2003,574.00
8/31/2003,581.21
9/30/2003,570.13
10/31/2003,558.34
11/30/2003,566.17
12/30/2003,566.00
1/31/2004,566.04
2/28/2004,564.32
3/31/2004,561.55
4/30/2004,547.11
5/31/2004,548.40
6/30/2004,534.49
7/31/2004,519.07
8/31/2004,515.30
9/30/2004,508.22
10/29/2004,504.27
11/30/2004,501.00
12/30/2004,485.84
1/31/2005,478.48
2/28/2005,471.22
3/31/2005,458.13
4/30/2005,439.25
5/31/2005,445.08
6/30/2005,442.34
7/29/2005,447.71
8/31/2005,468.34
9/30/2005,444.21
10/31/2005,451.22
11/30/2005,449.35
12/30/2005,450.19
1/31/2006,449.19
2/28/2006,450.68
3/31/2006,450.92
4/28/2006,446.14
5/31/2006,427.56
6/30/2006,418.79
7/31/2006,415.32
8/31/2006,396.54
9/29/2006,381.50
10/31/2006,378.93
11/30/2006,369.05
12/30/2006,363.50
1/31/2007,359.35
2/28/2007,353.61
3/30/2007,362.13
4/28/2007,356.97
5/31/2007,347.87
6/30/2007,340.95
7/31/2007,337.18
8/31/2007,336.45
9/30/2007,335.79
10/31/2007,325.09
11/30/2007,305.33
12/31/2007,304.22
1/31/2008,306.84
2/29/2008,307.81
3/31/2008,307.25
4/30/2008,306.82
5/30/2008,305.52
6/30/2008,302.65
7/31/2008,300.97
8/30/2008,303.33
9/30/2008,302.12
10/31/2008,305.10
11/30/2008,305.42
12/31/2008,306.73
1/30/2009,305.21
2/28/2009,305.83
3/31/2009,367.77
4/30/2009,370.90
5/30/2009,370.28
6/30/2009,360.06
7/31/2009,370.34
8/31/2009,374.89
9/30/2009,384.28
10/31/2009,386.37
11/30/2009,385.76
12/31/2009,377.89
1/29/2010,376.69
2/27/2010,384.65
3/31/2010,400.50
4/30/2010,384.85
5/31/2010,379.04
6/30/2010,367.50
7/31/2010,370.16
8/31/2010,362.72
9/30/2010,361.31
10/30/2010,358.21
11/30/2010,359.07
