Date,RUB,USD
13/01/2015,7.33,477.04
14/01/2015,7.25,478.09
15/01/2015,7.36,478.24
16/01/2015,7.35,478.45
19/01/2015,7.41,478.28
20/01/2015,7.34,477.91
21/01/2015,7.23,476.39
22/01/2015,7.25,473.04
23/01/2015,7.36,471.02
26/01/2015,7.21,472.1
27/01/2015,7.01,474.48
29/01/2015,6.91,475.56
30/01/2015,6.83,476.74
2/2/2015,6.79,476.64
3/2/2015,7.14,476.23
4/2/2015,7.24,476.51
5/2/2015,7.07,476.51
6/2/2015,7.22,477.46
9/2/2015,7.28,478.62
10/2/2015,7.31,478.85
11/2/2015,7.26,479.47
12/2/2015,7.4,479.05
13/02/2015,7.39,478.91
16/02/2015,7.7,478.83
17/02/2015,7.64,479.06
18/02/2015,7.67,479.48
19/02/2015,7.74,479.16
20/02/2015,7.74,478.95
23/02/2015,7.5,478.91
24/02/2015,7.59,478.63
25/02/2015,7.68,478.72
26/02/2015,8,479.11
27/02/2015,7.84,478.76
2/3/2015,7.72,478.6
3/3/2015,7.7,478.57
4/3/2015,7.76,479.05
5/3/2015,7.77,479.54
6/3/2015,8.04,479.59
9/3/2015,7.89,479.51
10/3/2015,7.92,480.38
11/3/2015,7.66,481.53
12/3/2015,7.93,481.75
13/03/2015,7.83,481.28
16/03/2015,7.74,480.85
17/03/2015,7.79,479.74
18/03/2015,7.85,479.46
19/03/2015,7.98,479.03
20/03/2015,7.95,478.36
23/03/2015,8.01,477.71
24/03/2015,8.16,475.18
25/03/2015,8.31,472.45
26/03/2015,8.35,471.78
27/03/2015,8.19,471.63
30/03/2015,8.14,471.21
31/03/2015,8.13,471.13
1/4/2015,8.08,471.33
2/4/2015,8.31,472.37
3/4/2015,8.29,473.05
7/4/2015,8.56,474.15
8/4/2015,8.82,474.99
9/4/2015,9.05,475.55
10/4/2015,9.43,476.34
11/4/2015,9.43,476.32
13/04/2015,9.06,475.3
14/04/2015,9.15,474.06
15/04/2015,9.36,472.64
16/04/2015,9.46,472.27
17/04/2015,9.29,472.28
18/04/2015,9.3,472.61
20/04/2015,9.17,473.18
21/04/2015,8.84,473.43
22/04/2015,8.87,473.96
27/04/2015,9.23,474.42
28/04/2015,9.15,474.95
29/04/2015,9.23,475.94
30/04/2015,9.21,476.42
4/5/2015,9.2,478.26
5/5/2015,9.35,480.62
6/5/2015,9.61,481.39
7/5/2015,9.51,480.96
8/5/2015,9.43,480.98
11/5/2015,9.39,480.49
12/5/2015,9.47,480.57
13/05/2015,9.7,480.91
14/05/2015,9.64,481.74
15/05/2015,9.65,482.9
18/05/2015,9.82,482.33
19/05/2015,9.78,482.27
20/05/2015,9.58,479.77
21/05/2015,9.61,478.1
22/05/2015,9.56,477.36
25/05/2015,9.57,478.32
26/05/2015,9.52,479.9
27/05/2015,9.33,479.33
29/05/2015,9.11,478.54
1/6/2015,8.98,478.05
2/6/2015,8.96,477.19
3/6/2015,8.95,477.4
4/6/2015,8.68,477.52
5/6/2015,8.55,476.86
8/6/2015,8.47,476.24
9/6/2015,8.5,476.17
10/6/2015,8.83,476.86
11/6/2015,8.71,477.12
12/6/2015,8.66,476.62
15/06/2015,8.64,475.7
16/06/2015,8.75,475.03
17/06/2015,8.78,474.44
18/06/2015,8.89,473.96
19/06/2015,8.73,473.42
22/06/2015,8.82,473.08
23/06/2015,8.69,472.93
24/06/2015,8.72,472.56
25/06/2015,8.66,472.65
26/06/2015,8.58,473.18
29/06/2015,8.53,473.06
30/06/2015,8.51,472.53
1/7/2015,8.54,472.22
2/7/2015,8.48,472.45
3/7/2015,8.5,473.52
6/7/2015,8.4,473.45
7/7/2015,8.29,474.39
8/7/2015,8.35,474.94
9/7/2015,8.33,475.63
10/7/2015,8.41,476.35
13/07/2015,8.42,477.18
14/07/2015,8.39,477.84
15/07/2015,8.45,478.41
16/07/2015,8.42,479.25
17/07/2015,8.45,479.93
18/07/2015,8.45,480.28
20/07/2015,8.44,480.33
21/07/2015,8.43,480.57
22/07/2015,8.4,479.94
23/07/2015,8.33,479.17
24/07/2015,8.21,477.85
27/07/2015,8.03,477.9
28/07/2015,7.98,478.54
29/07/2015,8.05,478.81
30/07/2015,8.07,478.65
31/07/2015,7.92,478.29
3/8/2015,7.65,478
4/8/2015,7.62,478.47
5/8/2015,7.6,478.53
6/8/2015,7.46,478.32
7/8/2015,7.45,478.29
10/8/2015,7.43,478.6
11/8/2015,7.52,478.57
12/8/2015,7.4,478.32
13/08/2015,7.45,478.44
14/08/2015,7.37,478.05
17/08/2015,7.3,478.07
18/08/2015,7.28,477.62
19/08/2015,7.27,477.29
20/08/2015,7.08,476.82
21/08/2015,7.01,477.7
24/08/2015,6.82,483.43
25/08/2015,6.97,484.47
26/08/2015,6.96,485.49
27/08/2015,7.23,484.7
28/08/2015,7.25,483.53
31/08/2015,7.19,482.77
1/9/2015,7.43,483.02
2/9/2015,7.23,484.4
3/9/2015,7.24,485.49
4/9/2015,7.18,485.43
7/9/2015,7.11,485.4
8/9/2015,7.08,485.18
9/9/2015,7.17,485.55
10/9/2015,7.13,485.61
11/9/2015,7.17,485.08
15/09/2015,7.22,484.08
16/09/2015,7.32,482.76
17/09/2015,7.33,481.74
18/09/2015,7.32,480.56
19/09/2015,7.3,478.99
22/09/2015,7.21,477.54
23/09/2015,7.21,476.53
24/09/2015,7.15,474.62
25/09/2015,7.25,475.35
28/09/2015,7.25,475.81
29/09/2015,7.19,475.59
30/09/2015,7.25,473.71
1/10/2015,7.25,472.85
2/10/2015,7.16,473.15
5/10/2015,7.27,473.81
6/10/2015,7.28,473.45
7/10/2015,7.59,472.37
8/10/2015,7.57,472.16
9/10/2015,7.7,473.08
12/10/2015,7.76,473.99
13/10/2015,7.56,474.38
14/10/2015,7.51,473.83
15/10/2015,7.62,473.05
16/10/2015,7.69,472.74
19/10/2015,7.64,473.13
20/10/2015,7.6,472.99
21/10/2015,7.52,471.81
22/10/2015,7.5,470.07
